nome,categoria,preco,preco_original,preco_pix,parcelamento,descricao,imagem_url,link_produto,notas_topo,notas_coracao,notas_fundo,inspiracao,volume,desconto,top_3_comentarios
Brandy Maçã - Perfume inspirado em Apple Brandy - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Brandy Maçã é perfeito para noites sofisticadas, encontros marcantes e para quem deseja transmitir poder, elegância e originalidade. Vai bem em climas mais frescos, jantares, festas, baladas ou qualquer situação em que a intenção seja marcar presença com intensidade e estilo.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6844bf334f476/34-68a8e27f801ca_mini.png,https://www.jaessencedelavie.com.br/perfume-brandy-maca-inspirado-em-apple-brandy/,,"Cardamomo, Rum, Acordes frutados","Musgo, Baunilha, Cedro, Ambroxan",Apple Brandy,100ml,-5%,"[{""data"": ""19/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Consegue ser igual ao de nichoALEXANDRE TOLENTINO"", ""verificado"": true}, {""data"": ""12/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Um espetáculo. Intenso, marcante, brabíssimoBruno mellone"", ""verificado"": true}, {""data"": ""17/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Esse foi presente, mas senti a fragrância assim que entreguei. perfume incrível, suave, cheirinho banho tomado. Perfeito!Marcos Francelino"", ""verificado"": true}]"
Ferskar - Perfume Inspirado em Enclave Amouage - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Ideal para homens intensos, modernos e introspectivos. Uma fragrância noturna, sofisticada e contemplativa — perfeita para climas amenos ou frios, jantares, eventos elegantes, noites reflexivas ou para quem quer destacar profundidade e originalidade com elegância sombria.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/683e43bf571c2/30-68a915fc518d3_mini.png,https://www.jaessencedelavie.com.br/ferskar-perfume-inspirado-em-enclave-amouage-compartilhavel/,,,"Saffiano, AmberXtreme™, Labdanum",Enclave Amouage,100ml,-19%,"[{""data"": ""05/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Diego pocci"", ""verificado"": true}, {""data"": ""22/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Nada a dizer, além de perfeito!Roberto A."", ""verificado"": true}, {""data"": ""22/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Nada a dizer, além de perfeito!Roberto A."", ""verificado"": true}]"
Blue - Inspirado em  Blue Sapphire  Boadicea The Victorious - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Ideal para ocasiões especiais, noites elegantes e momentos em que se deseja transmitir presença com discrição refinada. BLUE exala nobreza, confiança e um charme atemporal, perfeito para climas amenos ou frios, jantares sofisticados, eventos sociais ou como assinatura olfativa marcante.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/683b6fff52ba7/1-68a913240db7c_mini.png,https://www.jaessencedelavie.com.br/blue-inspirado-em-blue-sapphire-boadicea-the-victorious/,"Limão, Sálvia, Camomila, Tagetes, Açafrão",,"Patchouli, Oud, Âmbar, Chocolate amargo",Blue Sapphire  Boadicea The Victorious,100ml,-5%,"[{""data"": ""13/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Somente experimentei , achei muito bomEduardo Ciornai"", ""verificado"": true}, {""data"": ""28/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Perfume perfeito...Amor a primeira borrifada ..Perfume perfeito pra um dateGEOVANNE SOUZA"", ""verificado"": true}, {""data"": ""26/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Que perfume perfeito...Foi amor a primeira borrifada ❤️GEOVANNE SOUZA"", ""verificado"": true}]"
Ombre - Perfume Inspirado em Hacivat Nishane - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Leve, refinado e marcante, OMBRE entrega frescor e sofisticação com naturalidade. Ideal para o dia a dia ou ocasiões elegantes, é um perfume que transmite personalidade sem esforço.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d82b0b279/140-68a8d566c46f5_mini.png,https://www.jaessencedelavie.com.br/ombre-compartilhavel/,,"Jasmim, Patchouli (Oriza), Cedro","Notas Amadeiradas, Musgo de Carvalho",Hacivat Nishane,100ml,-5%,"[{""data"": ""06/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Amo esse perfume. Já é o terceiro.Bernadeth Maria"", ""verificado"": true}, {""data"": ""02/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Perfume muito bomPereira Pereira"", ""verificado"": true}]"
Black Ghost - Perfume Inspirado em Black Phantom By Kilian - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Uma fragrância sofisticada e intensa, perfeita para noites especiais ou momentos em que se deseja impressionar. BLACK GHOST traz profundidade, mistério e um toque doce, ideal para quem busca originalidade e assinatura marcante.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d8279dc55/146-68a8d65fc438e_mini.png,https://www.jaessencedelavie.com.br/black-ghost-compartilhavel/,,,"Sândalo cremoso, Cana‑de‑açúcar",Black Phantom By Kilian,100ml,-19%,"[{""data"": ""10/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Recebi este perfume de presente e toda vez que eu o utilizo sou elogiado. Virou um dos meus favoritos.Adriano"", ""verificado"": true}, {""data"": ""29/10/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Eu gostei bastante! Aroma viciante um gourmand bem chique.Thiago Godoy"", ""verificado"": true}, {""data"": ""24/09/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""luan sousa"", ""verificado"": true}]"
Luxury Oud - Perfume Inspirado em Oud for Greatness Initio Parfums Prives - COMPARTILHÁVELss Initio Parfums Prives - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","Sofisticado e impactante, LUXURY OUD combina notas frescas e picantes com uma base rica e amadeirada. Ideal para ocasiões especiais, é um convite para se conectar com sua força interior de forma elegante e ousada.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d826c4ef6/150-68a8d6bae35cf_mini.png,https://www.jaessencedelavie.com.br/luxury-oud-compartilhavel/,,,Musk,Oud for Greatness Initio,100ml,-19%,"[{""data"": ""27/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Por aqui já é o 5o vidro que compro pro meu marido. Muito parecido com o original q ganhei uma amostrinha em uma viagem. Comprei um árabe da lataffa e fixa e projeta menos!Greice martins"", ""verificado"": true}, {""data"": ""05/08/2025"", ""autor"": ""Thairiny Pimentel"", ""comentario"": ""Thairiny Pimentel"", ""verificado"": true}, {""data"": ""01/08/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Esse perfume é incrível, já comprei ele diversas vezes, até hoje não encontrei quem não gostasse, sempre perguntam que perfume estou usando, um perfume que projeta bastante e tem uma fixação incrível, cheiro de rico de verdade, um perfume que vai te cravar uma assinatura pessoal.Almeida"", ""verificado"": true}]"
Decima - Perfume Inspirado em Acqua Decima Eau D'Italie - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Ideal para primavera e verão, DECIMA traz a leveza de um passeio pelas costas italianas. Seu frescor cítrico e verde é perfeito para uso diário ou eventos ao ar livre, com uma sofisticação casual que transmite elegância sem esforço.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d8249d041/162-68a8d7bdc6124_mini.png,https://www.jaessencedelavie.com.br/perfume-decima-eau-de-parfum/,,,"Madeira Branca, Vetiver",Acqua Decima Eau D'Italie,100ml,-5%,"[{""data"": ""27/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Ranieri dos Santos"", ""verificado"": true}, {""data"": ""21/11/2025"", ""autor"": ""Heloyn Nogueira"", ""comentario"": ""Heloyn Nogueira"", ""verificado"": true}, {""data"": ""28/08/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Lailton das Neves"", ""verificado"": true}]"
Vanilla - Perfume Inspirado em Ruby N Vanilla Intense De Ebk Paris - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Um perfume para quem ama baunilha em sua forma mais luxuosa e viciante. A evolução revela uma baunilha quente, doce e aveludada, com toque de amêndoas e âmbar que ampliam sua profundidade. Ideal para noites especiais ou quando se deseja uma assinatura olfativa impactante.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d823c4966/166-68a8d7f65494e_mini.png,https://www.jaessencedelavie.com.br/vanilla-compartilhavel/,,,"Amêndoa, Almíscar, Sândalo",Ruby N Vanilla Intense,100ml,-5%,"[{""data"": ""28/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Baunilha encorpada, adulta. Altamente vicianteALEXANDRE TOLENTINO"", ""verificado"": true}, {""data"": ""24/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Obrigada JA por nos proporcionar compras de perfumes maravilhosos. Vcs nunca decepcionam.CINTHIA RAMOS"", ""verificado"": true}, {""data"": ""05/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Abimael gonçalves"", ""verificado"": true}]"
Suspended Poems  - Perfume Inspirado em Turath The Spirit of Dubai - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$196,55","6x de R$34,48","Uma jornada olfativa marcante, rica em contrastes e simbolismos. Ideal para quem busca intensidade, exclusividade e uma presença memorável. Suspended Poems traduz uma alma perfumada com herança oriental e sofisticação contemporânea — perfeita para ocasiões especiais e ambientes que pedem imponência.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d82301e84/452-68a8e0808c8bb_mini.png,https://www.jaessencedelavie.com.br/perfume-suspended-poems-compartilhavel/,,,"Patchouli, Sândalo, Guaiacwood, Vetiver, Bálsamo de Tolu, Bálsamo do Peru, Couro, Notas Fumê, Cistus, Ládano, Incenso, Civeta, Almíscar Branco, Ambargris, Baunilha, Musgos, Âmbar, Musgo de Carvalho",Turath The Spirit of Dubai,100ml,-5%,"[{""data"": ""07/02/2026"", ""autor"": ""Diego Castanho"", ""comentario"": ""Diego Castanho"", ""verificado"": true}, {""data"": ""17/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Obtive 4unid da primeira safra no frasco antigo e ele era muito mais intenso e mais escuro ,negam que reformularão ,mas enfim esse novo frasco é mais claro e não fixa muito ,mas ainda sim eu compro pq amo esse cheiroLuana Camacho"", ""verificado"": true}, {""data"": ""04/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bomANA CLAUDIA"", ""verificado"": true}]"
Joie de Vivre - Perfume Inspirado em Erba Pura Xerjoff - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$128,15","6x de R$22,48","alegre, viciante e cheia de energia. Perfeita para quem ama perfumes frutados e quer deixar uma impressão luminosa e sofisticada.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d81e1a9cf/170-68a8d82c882a9_mini.png,https://www.jaessencedelavie.com.br/perfume-joie-de-vivre-compartilhavel/,,Frutas,"Almíscar Branco, Baunilha de Madagascar, Âmbar",Erba Pura Xerjoff,100ml,-19%,"[{""data"": ""27/01/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bom, excelente fragrância. Eu achei um pouquinho doce para o que eu gosto de usar, mas a qualidade é indiscutível.Manassés da Cruz"", ""verificado"": true}, {""data"": ""19/01/2026"", ""autor"": ""Harllen Joaquim"", ""comentario"": ""Harllen Joaquim"", ""verificado"": true}, {""data"": ""11/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Perfeito...Nada a relatar a n ser que estou 200% satisfeito.Obs: estou fazendo as avaliações no serviço... ñ tenho como mandar fotoFABRICIO BORGES"", ""verificado"": true}]"
Spice Garden - Perfume Inspirado em Tygar Bvlgari - Masculino,compartilhaveis,"R$134,90","R$149,90","R$128,15","6x de R$22,48","Um perfume que transmite energia solar e profundidade terrosa. Ideal para homens modernos, confiantes e determinados, que buscam marcar presença com uma fragrância única, elegante e poderosa. Perfeito para uso diário ou eventos onde se deseja destaque.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d81d5a81a/174-68a8d86cb9bdc_mini.png,https://www.jaessencedelavie.com.br/perfume-spice-garden-masculino/,,Ambrox,Madeiras Nobres,Tygar Bvlgari,100ml,-10%,"[{""data"": ""07/02/2026"", ""autor"": ""Diego Castanho"", ""comentario"": ""Diego Castanho"", ""verificado"": true}, {""data"": ""05/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Juan pereira"", ""verificado"": true}, {""data"": ""02/02/2026"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bom perfumeRyan Narciso"", ""verificado"": true}]"
Beach - Perfume Inspirado em Bahar The Spirit of Dubai - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$196,55","6x de R$34,48","olfativa refrescante, envolvente e sofisticada.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d81bc9c4a/178-68a8d8aec0966_mini.png,https://www.jaessencedelavie.com.br/perfume-beach-compartilhavel/,,,"Âmbar, Baunilha, Almíscar, Patchouli, Madeiras Preciosas, Oudh, Vetiver",Bahar The Spirit of Dubai,100ml,-5%,"[{""data"": ""07/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Muito bomCelso russi"", ""verificado"": true}, {""data"": ""22/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Nada a dizer, além de perfeito!Roberto A."", ""verificado"": true}, {""data"": ""22/11/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Nada a dizer, além de perfeito!Roberto A."", ""verificado"": true}]"
Chevalier - Perfume Inspirado em Layton Parfums De Marly - Compartilhável,compartilhaveis,"R$134,90","R$165,90","R$170,90","6x de R$29,98","Chevalier transmite sofisticação e poder desde a primeira borrifada. Um perfume elegante e sedutor, ideal para noites, eventos especiais e ocasiões em que a presença precisa ser notada sem exageros. Funciona perfeitamente em climas amenos e frios, deixando um rastro envolvente e confiante.",https://cdn.sistemawbuy.com.br/arquivos/164496f0f766f94632f1695eb9084eed/produtos/6823d81b19eaf/202-68a8dadf66dfe_mini.png,https://www.jaessencedelavie.com.br/perfume-chevalier-compartilhavel/,,,"Baunilha, Pimenta, Madeira Guaiac, Patchouli, Oriza, Café caramelizado",Layton Parfums De Marly,100ml,-5%,"[{""data"": ""19/01/2026"", ""autor"": ""Harllen Joaquim"", ""comentario"": ""Harllen Joaquim"", ""verificado"": true}, {""data"": ""30/12/2025"", ""autor"": ""Arua Costa"", ""comentario"": ""Arua Costa"", ""verificado"": true}, {""data"": ""03/12/2025"", ""autor"": ""Cliente verificado"", ""comentario"": ""Eu não conheço o perfume o qual o Chevalier foi inspirado! (Layton Parfums de Marly) Mas após receber o contratipo, fiquei simplesmente apaixonado pela fragrância! Se você curte perfume na vibe do La Nuit de l'Homme da Yves Saint Laurent, pode comprar sem medo que não vai se decepcionar! Na minha pe"", ""verificado"": true}]"
